 	Str.	Pos.	Cu rods	length from top of string	HV Row	min hv cable length	HV cable length	LMFE min cable length	selected LMFE cable length	HV Flange	LMFE	CC4 Channel	CC4	CC4 Position	Flange	HE Addr	RPi	HE Cable	FC	Flashcam Channel #	HV Feedthrough	HV Flange	HV Filter	HV Filter Ch (0 L -> 7 R)	HV Filter Insulators	HV Filter Pulser	HV Module	HV Channel	Mass	Comment	CC4 OK	HV OK
String 1																																
																																
																																
String 2																																
																																
																																
String 3																																
																																
																																
String 4																																
BF862	---	---	---	---	---	---	---	---	---	---	---	0	B5	Left	S0	04	1	2	0G1-0		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	2	B5	Left	S0	04	1	2	0G1-2		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	3	B5	Left	S0	04	1	2	0G1-3		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	4	B5	Left	S0	04	1	2	0G1-4		---	---	---	---	---	---	---	---				
B00032C	4	1	51.5	51.5	L	381.5	400	491.5	790	D.1.0	12	5	B5	Left	S0	04	1	2	0G1-5		D.1.0	X	id-004	0	N	Y	0	0	743			
V00048B	4	2	101.5	153	L	483	550	593	790	D.1.1	21	6	B5	Left	S0	04	1	2	0G2-0		D.1.1	X	id-004	1	N	Y	0	1	1808			
V00050A	4	3	101.5	254.5	L	584.5	650	694.5	810	D.1.2	35	0	E5	Right	R1	09	2	3	0G2-1		D.1.2	X	id-004	2	N	Y	0	2	1868			
V01240A	4	4	101.5	356	L	686	750	796	1100	D.1.3	63	1	E5	Right	R1	09	2	3	0G2-2		D.1.3	X	id-004	3	N	Y	0	3	2110			
BF862	---	---	---	---	---	---	---	---	---	---	---	2	E5	Right	R1	09	2	3	0G2-3		---	---	---	---	---	---	---	---	0			
V05267A	4	5	101.5	457.5	L	787.5	850	897.5	1100	D.1.4	66	3	E5	Right	R1	09	2	3	0G2-4		D.1.4	X	id-004	4	N	Y	0	4	2,183			
V00048A	4	6	101.5	559	L	889	950	999	1100	D.1.5	68	4	E5	Right	R1	09	2	3	0G3-5		D.1.5	X	id-004	5	N	Y	0	5	1907			
V07302A	4	7	101.5	660.5	L	990.5	1100	1100.5	1120	D.1.6	91	5	E5	Right	R1	09	2	3	0G3-0		D.1.6	X	id-004	6	N	Y	0	6	1829			
V05268A	4	8	101.5	762	U	1132	1200	1202	1390	D.1.7	114	6	E5	Right	R1	09	2	3	0G3-1		D.1.7	X	id-004	7	N	Y	0	7	2,298			
V05261A	4	9	101.5	863.5	U	1233.5	1300	1303.5	1400	D.1.8	101	1	B5	Left	S0	04	1	2	0G1-1		D.1.8	X	id-008	1	N	N	1	0				
String 5																																
V03421A	5	1	101.5	101.5	L	431.5	450	531.5	790	C.3.0	24	0	E4	Right	R3	01	2	4	0G3-2		C.3.0	Y	id-006	0	N	N	1	1	2700			
V03422A	5	2	129	230.5	L	560.5	600	660.5	800	C.3.1	9	1	E4	Right	R3	01	2	4	0G3-3		C.3.1	Y	id-006	1	N	N	1	2	3418			
V10447A	5	3	124.5	355	L	685	750	785	840	C.3.2	8	2	E4	Right	R3	01	2	4	0G3-4		C.3.2	Y	id-006	2	N	N	1	3	3650			
V11924A	5	4	0	0	L	330	850	430	1100	C.3.3	69	3	E4	Right	R3	01	2	4	0G3-5		C.3.3	Y	id-006	3	N	N	1	4	0			
V08682A	5	5	120	120	L	450	1000	550	1100	C.3.4	71	4	E4	Right	R3	01	2	4	0G4-0		C.3.4	Y	id-006	4	N	N	1	5	3340			
V09724A	5	6	101.5	221.5	L	551.5	1100	651.5	1390	C.3.5	109	5	E4	Right	R3	01	2	4	0G4-1		C.3.5	Y	id-006	5	N	N	1	6	2607			
V09374A	5	7	101.5	323	L	653	1200	753	1380	C.3.6	145	6	E4	Right	R3	01	2	4	0G4-2		C.3.6	Y	id-006	6	N	N	1	7	2607			
																																
String 6																																
V02160A	6	1	101.5	101.5	L	431.5	450	541.5	800	C.2.0	10	0	F4	Right	R2	05	2	5	0G4-3		C.2.0	X	id-008	4	N	N	2	0	1795			
V02162B	6	2	110	211.5	L	541.5	550	651.5	800	C.2.1	15	1	F4	Right	R2	05	2	5	0G4-4		C.2.1	X	id-008	5	N	N	2	1	2525			
V05612A	6	3	101.5	313	L	643	650	753	1100	C.2.3	73	2	F4	Right	R2	05	2	5	0G4-5		C.2.3	X	id-008	6	N	N	2	2	2201			
V05266A	6	4	101.5	414.5	L	744.5	800	854.5	1100	C.2.4	81	3	F4	Right	R2	05	2	5	0G5-0		C.2.4	Y	id-007	2	N	N	2	3	2,073			
V05266B	6	5	101.5	516	U	886	900	956	1100	C.2.5	86	4	F4	Right	R2	05	2	5	0G5-1		C.2.5	Y	id-007	3	N	N	2	4	1,988			
V07647A	6	6	101.5	617.5	U	987.5	1000	1057.5	1340	C.2.6	129	5	F4	Right	R2	05	2	5	0G5-2		C.2.6	Y	id-007	4	N	N	2	5	1893			
V07647B	6	7	101.5	719	U	1089	1100	1159	1380	C.2.7	132	6	F4	Right	R2	05	2	5	0G5-3		C.2.7	Y	id-007	5	N	N	2	6	1779			
BF862	---	---	---	---	---	---	---	---	---	---	---	0	E2	Right	R7	00	2	7	0G5-4		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	1	E2	Right	R7	00	2	7	0G5-5		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	2	E2	Right	R7	00	2	7	0G6-0		---	---	---	---	---	---	---	---				
V07302B	6	8	75	794	U	1164	1200	1234	1380	C.2.8	140	3	E2	Right	R7	00	2	7	0G6-1		C.2.8	Y	id-007	6	N	N	2	7	1612.7			
																																
String 7																																
																																
																																
String 8																																
B00000C	8	1	51.5	51.5	L	381.5	400	531.5	800	A.3.7	17	4	E2	Right	R7	00	2	7	0G6-2		A.3.7	Z	id-013	3	N	N	3	0	815			
B00061B	8	2	51.5	103	U	473	500	583	800	A.4.6	26	5	E2	Right	R7	00	2	7	0G6-3		A.4.6	Z	id-013	5	N	N	3	1	751			
B00076C	8	3	51.5	154.5	U	524.5	550	634.5	800	C.1.8	40	6	E2	Right	R7	00	2	7	0G6-4		C.1.8	X	id-008	2	N	N	3	2	824			
B00079B	8	4	51.5	206	L	536	550	686	800	A.4.1	42	0	A1	Left	S9	07	1	8	0G6-5		A.4.1	Z	id-013	7	N	N	3	3	736			
B00079C	8	5	51.5	257.5	L	587.5	700	737.5	1110	A.4.3	90	1	A1	Left	S9	07	1	8	0G7-0		A.4.3	Z	id-013	0	N	N	3	4	812			
BF862	---	---	---	---	---	---	---	---	---	---	---	2	A1	Left	S9	07	1	8	0G7-1		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	3	A1	Left	S9	07	1	8	0G7-2		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	4	A1	Left	S9	07	1	8	0G7-3		---	---	---	---	---	---	---	---				
V01404A	8	6	101.5	359	U	729	800	839	1100	A.4.4	88	5	A1	Left	S9	07	1	8	0G7-4		A.4.4	Z	id-013	1	N	N	3	5	1740			
BF862	---	---	---	---	---	---	---	---	---	A.4.5	---	6	A1	Left	S9	07	1	8	0G7-5		A.4.5	Z	id-013	2	---	---	---	---				
																																
String 9																																
																																
																																
String 10																																
B00000D	10	1	51.5	51.5	L	381.5	400	491.5	800	A.2.3	45	0	B1	Left	S8	02	1	10	0G8-0		A.2.3	Z	id-014	5	N	Y	3	6	813			
BF862	---	---	---	---	---	---	---	---	---	---	---	1	B1	Left	S8	02	1	10	0G8-1		---	---	---	---	---	---	---	---				
B00002C	10	2	51.5	103	L	433	450	543	810	A.2.4	14	2	B1	Left	S8	02	1	10	0G8-2		A.2.4	Z	id-014	6	N	Y	3	7	788			
B00035A	10	3	51.5	154.5	L	484.5	500	594.5	810	A.2.5	16	3	B1	Left	S8	02	1	10	0G8-3		A.2.5	Z	id-014	7	N	Y	4	0	768			
B00035B	10	4	51.5	206	L	536	550	646	810	A.2.6	18	4	B1	Left	S8	02	1	10	0G8-4		A.2.6	Z	id-000	0	N	Y	4	1	810			
V00050B	10	5	101.5	307.5	L	637.5	650	747.5	1100	A.2.7	96	5	B1	Left	S8	02	1	10	0G8-5		A.2.7	Z	id-000	1	N	Y	4	2	1913			
V04549A	10	6	101.5	409	L	739	800	849	1110	A.2.8	51	6	B1	Left	S8	02	1	10	0G9-0		A.2.8	Z	id-000	2	N	Y	4	3	1943			
BF862	---	---	---	---	---	---	---	---	---	---	---	0	B2	Left	S6	09	1	11	0G9-1		---	---	---	---	---	---	---	---				
V06643A	10	7	120	529	L	859	900	969	1110	A.2.9	80	1	B2	Left	S6	09	1	11	0G9-2		A.2.9	Z	id-000	3	N	Y	4	4	2286.2			
V07298B	10	8	101.5	630.5	U	1000.5	1050	1070.5	1400	A.3.0	104	2	B2	Left	S6	09	1	11	0G9-3		A.3.0	Z	id-000	4	N	Y	4	5	2111.5			
V00074A	10	9	101.5	732	U	1102	1150	1172	1400	A.3.1	105	3	B2	Left	S6	09	1	11	0G9-4		A.3.1	Z	id-000	5	N	Y	4	6	2073			
BF862	---	---	---	---	---	---	---	---	---	---	---	4	B2	Left	S6	09	1	11	0G9-5		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	5	B2	Left	S6	09	1	11	0G10-0		---	---	---	---	---	---	---	---				
BF862	---	---	---	---	---	---	---	---	---	---	---	6	B2	Left	S6	09	1	11	0G10-1		---	---	---	---	---	---	---	---				
																																
String 11															 																	
V08682A	11	1	120	120	L	450	450	560	810	B.1.0	20	0	B3	Left	S5	03	1	12	0G10-2		B.1.0	Y	id-012	0	N	Y	5	0	3340			
V09372A	11	2	129	249	L	579	650	689	810	B.1.1	23	1	B3	Left	S5	03	1	12	0G10-3		B.1.1	Y	id-012	1	N	Y	5	1	4011			
V10437B	11	3	122	371	L	701	750	811	1110	B.1.2	67	2	B3	Left	S5	03	1	12	0G10-4		B.1.2	Y	id-012	2	N	Y	5	2	3819			
V10784A	11	4	122	493	L	823	900	933	1110	B.1.3	75	3	B3	Left	S5	03	1	12	0G10-5		B.1.3	Y	id-012	3	N	Y	5	3	3685			
V11925A	11	5	124.5	617.5	L	947.5	1000	1057.5	1400	B.1.4	106	4	B3	Left	S5	03	1	12	0G11-0		B.1.4	Y	id-012	4	N	Y	5	4	3668			
V11947B	11	6	120	737.5	L	1067.5	1100	1177.5	1400	B.1.5	107	5	B3	Left	S5	03	1	12	0G11-1		B.1.5	Y	id-012	5	N	Y	5	5	3712			
																																
String 12																																
V02160B	12	1	101.5	101.5	L	431.5	450	541.5	810	B.1.8	27	6	B3	Left	S5	03	1	12	0G11-2		B.1.8	Y	id-011	0	N	N	5	6	1750			
V04199A	12	2	120	221.5	L	551.5	550	661.5	810	B.1.9	30	0	B4	Left	S2	05	1	14	0G11-3		B.1.9	Y	id-011	1	N	N	5	7	2987			
V04545A	12	3	120	341.5	L	671.5	700	781.5	1110	B.2.0	76	1	B4	Left	S2	05	1	14	0G11-4		B.2.0	Y	id-011	2	N	N	6	0	3138			
V05261B	12	4	120	461.5	L	791.5	900	901.5	1110	B.2.1	77	2	B4	Left	S2	05	1	14	0G11-5		B.2.1	Y	id-011	3	N	N	6	1	2393			
V05267B	12	5	120	581.5	L	911.5	1050	1021.5	1110	B.2.2	79	3	B4	Left	S2	05	1	14	1G1-0		B.2.2	Y	id-011	4	N	N	6	2	2,362			
V07646A	12	6	120	701.5	U	1071.5	1200	1141.5	1400	B.2.3	108	4	B4	Left	S2	05	1	14	1G1-1		B.2.3	Y	id-011	5	N	N	6	3	2689.7			
V06659A	12	7	120	821.5	U	1191.5	1250	1261.5	1400	B.2.4	110	5	B4	Left	S2	05	1	14	1G1-2		B.2.4	Y	id-011	6	N	N	6	4	2587			
V02166B	12	8	110	931.5	U	1301.5	1350	1371.5	1400	B.2.5	111	6	B4	Left	S2	05	1	14	1G1-3		B.2.5	Y	id-011	7	N	N	6	5	2667			
																																
							53				53																53	53	110.9271			
Distance Birdsnest -> String																																
L from lower HV to det.			330			includes 20mm margin																										
L from upper HV to det.			370			includes 20mm margin																										
L LMFE S1			440																													
L LMFE S2			480																													
L LMFE S3			440																													
L LMFE S4			440																													
L LMFE S5			430																													
L LMFE S6			440																													
L LMFE S7			440																													
L LMFE S8			480																													
L LMFE S9			440																													
L LMFE S10			440																													
L LMFE S11			440																													
L LMFE S12			440																													
																																
																																
																																
			Cable Tail	Flange																												
																																
			A1	S9																												
			A2	S7																												
			A3	S4																												
			A4	S3																												
			A5	S1																												
			B1	S8																												
			B2	S6																												
			B3	S5																												
			B4	S2																												
			B5	S0																												
			C1	L9																												
			C2	L7																												
			C3	L5																												
			C4	L3																												
			C5	L1																												
			D1	L8																												
			D4	L2																												
			D5	L0																												
			E1	R9																												
			E2	R7																												
			E3	R5																												
			E4	R3																												
			E5	R1																												
			F1	R8																												
			F2	R6																												
			F3	R4																												
			F4	R2																												
			F5	R0																												