Crate	Slot	Ch	FC ID	Data ID 	FE ID	DSUB ID	Fiber ID	Angle	SiPM ID	Voltage	com. (mount)	com. (RT)	com. (LAr)	comments	noise
2	1	4	10		B0-10	F1-11	IB-01	240	71	25.5					
2	1	5	11		B0-11	F1-12	IB-02	240	70	25.5					
2	2	2	14		B1-02	F1-15	IB-03	200	90	26.5					
2	2	3	15		B1-03	F2-01	IB-04	200	29	25.5					
2	3	0	18		B1-06	F2-04	IB-05	160	24	24.0					
2	3	1	19		B1-07	F2-05	IB-06	160	23	25.0					
2	3	4	22		B1-10	F2-08	IB-07	120	2	25.0					
2	3	5	23		B1-11	F2-09	IB-08	120	3	25.0					
2	4	0	24		B2-00	F2-10	IB-09	80	32	25.5					
2	4	1	25		B2-01	F2-11	IB-10	80	36	26.0					
2	5	0	30		B2-06	F3-01	IB-11	40	58	26.0				had short to GND before	very noisy: 1.5Âµs shaping
2	5	1	31		B2-07	F3-02	IB-12	40	57	26.0					
2	5	2	32		B2-08	F3-03	IB-13	0	96	26.5					
2	5	3	33		B2-09	F3-04	IB-14	0	95	26.5					
2	0	2	2		B0-02	F1-03	IB-15	320	60	OFF			short to GND		
2	0	3	3		B0-03	F1-04	IB-16	320	61	26.0					noisy
2	1	2	8		B0-08	F1-09	IB-17	280	83	26.5					
2	1	3	9		B0-09	F1-10	IB-18	280	73	26.3					
2	9	2	56		B4-08	F4-12	OB - 01	126	85	24.8					
2	9	3	57		B4-09	F4-13	OB - 02	126	86	26.0					
2	9	4	58		B4-10	F4-14	OB - 03	108	37	25.0					
2	9	5	59		B4-11	F4-15	OB - 04	108	7	24.0					
2	0	4	4		B5-00	FR-01	OB - 05	90	55	25.5					noisy
2	0	5	5		B5-01	FR-02	OB - 06	90	54	OFF			short to GND		very noisy
2	1	0	6		B5-02	FR-03	OB - 07	72	28	OFF			R=11MOhm		
2	1	1	7		B5-03	FR-04	OB - 08	72	17	25.0					
2	3	2	20		B5-04	FR-05	OB - 09	54	30	25.0					
2	3	3	21		B5-05	FR-06	OB - 10	54	31	25.0					
2	4	2	26		B5-06	FR-07	OB - 11	36	94	26.0					
2	4	3	27		B5-07	FR-08	OB - 12	36	27	OFF			short to GND - problem with the kapton 	Problem with Kapton cable	
2	8	0	48		B6-06	FL-07	OB - 13	18	43	26.0					very noisy, but different
2	8	1	49		B6-07	FL-08	OB - 14	18	40	25.5					noisy
2	6	4	40		B6-04	FL-05	OB - 15	0	11	24.5					noisy
2	6	5	41		B6-05	FL-06	OB - 16	0	12	24.5					
2	6	2	38		B6-02	FL-03	OB - 17	342	46	25.5					noisy
2	6	3	39		B6-03	FL-04	OB - 18	342	47	25.0				very noisy (gs=400)	very noisy
2	4	4	28		B6-00	FL-01	OB - 19	324	98	26.5				very noisy (gs=600)	
2	4	5	29		B6-01	FL-02	OB - 20	324	8	24.5					
2	2	0	12		B1-00	F1-13	OB - 21	306	67	24.0					
2	2	1	13		B1-01	F1-14	OB - 22	306	68	25.5					very noisy
2	2	4	16		B1-04	F2-02	OB - 23	288	42	25.0					
2	2	5	17		B1-05	F2-03	OB - 24	288	41	25.0					
2	5	4	34		B2-10	F3-05	OB - 25	270	99	25.5					
2	5	5	35		B2-11	F3-06	OB - 26	270	65	26.0					
2	6	0	36		B3-00	F3-07	OB - 27	252	87	26.5					
2	6	1	37		B3-01	F3-08	OB - 28	252	82	26.5					
2	7	0	42		B3-06	F3-13	OB - 29	234	20	25.5					
2	7	1	43		B3-07	F3-14	OB - 30	234	80	OFF			short to GND		
2	7	2	44		B3-08	F3-15	OB - 31	216	26	25.8					
2	7	3	45		B3-09	F4-01	OB - 32	216	25	25.0					
2	7	4	46		B3-10	F4-02	OB - 33	198	15	24.5					
2	7	5	47		B3-11	F4-03	OB - 34	198	97	OFF			high rate		
2	8	2	50		B4-02	F4-06	OB - 35	180	48	24.0					
2	8	3	51		B4-03	F4-07	OB - 36	180	49	23.5					
2	8	4	52		B4-04	F4-08	OB - 37	162	53	24.0					
2	8	5	53		B4-05	F4-09	OB - 38	162	52	24.5					
2	9	0	54		B4-06	F4-10	OB - 39	144	50	23.5					
2	9	1	55		B4-07	F4-11	OB - 40	144	51	24.0					